city,forecast_date,temp_max,temp_min,precipitation,wind_speed,condition
Lagos,2026-08-03,27.5,24.2,2.7,15.3,Moderate Drizzle 🌦️
Lagos,2026-08-04,27.5,23.7,1.9,14.2,Moderate Drizzle 🌦️
Lagos,2026-08-05,27.1,24.5,1.2,15.7,Light Drizzle 🌦️
Lagos,2026-08-06,28.1,24.2,1.6,17.2,Light Drizzle 🌦️
Lagos,2026-08-07,27.4,24.2,0.3,15.7,Light Drizzle 🌦️
Lagos,2026-08-08,26.2,24.4,2.7,20.2,Moderate Drizzle 🌦️
Lagos,2026-08-09,26.2,24.1,1.2,15.5,Light Drizzle 🌦️
Abuja,2026-08-03,26.6,20.9,10.9,11.5,Slight Showers 🌦️
Abuja,2026-08-04,28.2,21.2,16.7,10.1,Thunderstorm ⛈️
Abuja,2026-08-05,28.4,21.8,14.5,10.3,Thunderstorm ⛈️
Abuja,2026-08-06,28.2,21.3,6.4,10.8,Moderate Drizzle 🌦️
Abuja,2026-08-07,27.5,21.7,19.4,9.5,Thunderstorm ⛈️
Abuja,2026-08-08,27.2,20.9,16.5,8.1,Slight Showers 🌦️
Abuja,2026-08-09,27.0,21.2,7.8,9.0,Moderate Drizzle 🌦️
Kano,2026-08-03,28.5,21.9,8.1,13.0,Slight Showers 🌦️
Kano,2026-08-04,30.6,22.0,0.0,8.9,Overcast ☁️
Kano,2026-08-05,30.4,23.7,3.3,12.0,Thunderstorm ⛈️
Kano,2026-08-06,30.5,22.9,5.0,13.9,Thunderstorm ⛈️
Kano,2026-08-07,29.3,23.3,11.7,12.4,Thunderstorm ⛈️
Kano,2026-08-08,30.2,22.0,5.5,10.3,Slight Showers 🌦️
Kano,2026-08-09,29.9,21.5,1.4,10.4,Light Drizzle 🌦️
Port Harcourt,2026-08-03,29.1,23.1,9.9,8.3,Moderate Showers 🌧️
Port Harcourt,2026-08-04,29.9,23.4,11.0,8.7,Slight Showers 🌦️
Port Harcourt,2026-08-05,28.1,23.5,22.4,9.8,Thunderstorm ⛈️
Port Harcourt,2026-08-06,28.3,23.5,11.3,12.7,Thunderstorm ⛈️
Port Harcourt,2026-08-07,26.8,22.8,18.0,9.7,Moderate Showers 🌧️
Port Harcourt,2026-08-08,29.4,23.4,14.1,10.9,Moderate Showers 🌧️
Port Harcourt,2026-08-09,26.8,23.1,13.6,7.7,Slight Showers 🌦️
Ibadan,2026-08-03,27.9,22.1,2.2,10.9,Light Drizzle 🌦️
Ibadan,2026-08-04,28.4,21.4,4.7,9.9,Moderate Showers 🌧️
Ibadan,2026-08-05,29.1,22.1,3.8,11.2,Slight Showers 🌦️
Ibadan,2026-08-06,29.1,22.9,3.4,13.3,Slight Showers 🌦️
Ibadan,2026-08-07,28.2,22.1,2.2,13.4,Dense Drizzle 🌧️
Ibadan,2026-08-08,25.4,22.2,32.3,14.4,Moderate Showers 🌧️
Ibadan,2026-08-09,27.5,22.3,7.8,11.0,Dense Drizzle 🌧️
Enugu,2026-08-03,26.1,22.8,35.7,9.1,Thunderstorm ⛈️
Enugu,2026-08-04,29.6,22.3,17.2,9.5,Thunderstorm ⛈️
Enugu,2026-08-05,29.5,22.4,4.3,10.6,Moderate Drizzle 🌦️
Enugu,2026-08-06,29.7,23.1,10.6,11.6,Thunderstorm ⛈️
Enugu,2026-08-07,27.6,23.0,14.2,13.6,Moderate Showers 🌧️
Enugu,2026-08-08,27.2,23.0,11.6,14.9,Slight Showers 🌦️
